bus_number,source,destination,via,platform
87,MAJESTIC,HAMPINAGAR R.P.C. LAYOUT,"MAGADI ROAD, PRASANNA, PIPELINE ROAD",1
87-A,MAJESTIC,HAMPINAGAR R.P.C. LAYOUT,"MAGADI ROAD, PRASANNA, PIPELINE ROAD, RAILWAY GATE",1
87-B,MAJESTIC,NAYANDAHALLI RAILWAY GATE,"MAGADI ROAD, PRASANNA, PIPELINE ROAD, INCOME TAX, GANGONDANAHALLI",1
61,MAJESTIC,VIJAYANAGAR,"MAGADI ROAD, PRASANNA",2
61-A,MAJESTIC,CHANDRA LAYOUT,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, INCOME TAX",2
61-B,MAJESTIC,SARSWATHINAGAR (BAPOOJI LAYOUT),"MAGADI ROAD, PRASANNA, VIJAYANAGAR",2
61-C,MAJESTIC,BCC LAYOUT,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, ATTIGUPPE",2
61-E,MAJESTIC,VIJAYANAGAR TTMC,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, MARUTHI MANDIR",2
61-F,MAJESTIC,GKW LAYOUT,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR",2
61-G,MAJESTIC,CHANDRA LAYOUT,"SUJATHA, PRASANNA, VIJAYANAGAR, INCOME TAX",2
61-G,MAJESTIC,CHANDRA LAYOUT 1ST STAGE,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, INCOME TAX, CHANDRA LAYOUT",2
61-M,MAJESTIC,VIDYAGIRI LAYOUT,"SUJATHA, 6TH BLOCK, PRASANNA, VIJAYANAGAR, INCOME TAX, CHANDRA LAYOUT",2
235-B,MAJESTIC,DODDABASTI,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, MARIYAPPANAPALYA",3
235-D,MAJESTIC,SULIKERE,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, RAMASANDRA",3
235-F,MAJESTIC,SPORTS AUTHORITY OF INDIA,"SUJATHA 6TH BLOCK, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, GANDHIBAVANA",3
235-K,MAJESTIC,DODDABASTI,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, SONNENAHALLI",3
235-P,MAJESTIC,CHIKKANAHALLI,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE, SONNENAHALLI, DODDABASTI",3
235-Q,MAJESTIC,MARUTHI NAGAR,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, BUC, ADM OFFICE, SONNENAHALLI",3
238,MAJESTIC,NRUPATHUNGANAGAR,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, MUDALAPALYA, NAGARBHAVI CIRCLE",3
238-A,MAJESTIC,NAGARBHAVI 1ST STAGE (3RD BLOCK),"MAGADI ROAD, PRASANNA, VIJAYANAGAR, INCOME TAX, CHANDRA LAYOUT, NAGARBHAVI CIRCLE",3
238-AB,MAJESTIC,ITI LAYOUT,"MAGADI ROAD, PRASANNA, VIJAYANAGAR, INCOME TAX, CHANDRA LAYOUT, NAGARBHAVI CIRCLE",3
